timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio,policy
20.0,1,car,3821.2,7165.03,6.21,0.97,:306614126_4_0,:306614126_4,7,0,511.35,3.38,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.286,-149.72,-44.0,0.014,278.5,0.0,RANDOM
20.0,2,car,4422.07,13368.68,6.99,-0.95,464465173#1_1,464465173#1,7,0,5431.16,2.42,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.143,-150.0,-60.0,0.003,1386.69,0.0,RANDOM
20.0,3,car,3317.99,7074.18,9.59,-2.65,:2450399422_7_0,:2450399422_7,7,0,511.35,3.38,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.429,-129.12,-25.78,0.076,55.32,0.0001,RANDOM
20.0,4,motorcycle,1853.89,8583.08,9.41,2.22,:3870459130_5_0,:3870459130_5,7,1,225.08,4.69,0,safety,1,1,CH1_5.86GHz_V2V,0.143,-150.0,-18.14,0.22,11.22,0.0008,RANDOM
20.0,5,car,4286.99,6824.65,8.38,1.15,-133944946#1_0,-133944946#1,7,0,576.9,2.17,0,safety,1,4,CH4_5.92GHz_AUTON,0.429,-131.84,-32.5,0.016,150.79,0.0,RANDOM
20.0,6,bus,5649.1,8021.97,10.69,0.02,156678397#2_0,156678397#2,7,0,1813.54,2.31,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.429,-125.97,-43.17,0.003,13866.4,0.0,RANDOM
21.0,0,car,1637.31,8627.83,7.19,2.48,:cluster_1607671447_1607671449_16_0,:cluster_1607671447_1607671449_16,7,1,213.22,4.34,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.286,-143.19,-9.64,1.488,3.91,0.0167,RANDOM
21.0,1,car,3820.27,7171.61,6.78,0.56,-1196120496#1_0,-1196120496#1,7,0,504.74,0.16,0,infotainment,5,2,CH2_5.88GHz_EMERG,0.143,-150.0,-25.42,0.041,966.53,0.0,RANDOM
21.0,2,car,4421.7,13375.67,6.99,0.0,464465173#1_1,464465173#1,7,0,5431.59,4.54,0,safety,1,3,CH3_5.90GHz_V2I,0.286,-150.0,-60.0,0.003,833.06,0.0,RANDOM
21.0,3,car,3324.63,7076.19,6.94,-2.65,237089974#0_0,237089974#0,7,0,504.74,0.16,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-141.92,-39.64,0.016,2553.02,0.0,RANDOM
21.0,4,motorcycle,1847.62,8592.75,11.53,2.12,-1322924310#1_0,-1322924310#1,7,1,213.22,4.34,0,safety,1,3,CH3_5.90GHz_V2I,0.286,-149.57,-5.12,7.741,1.54,0.0765,RANDOM
21.0,5,car,4287.62,6834.77,10.13,1.76,-133944946#1_0,-133944946#1,7,0,576.09,3.35,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.286,-150.0,-33.75,0.006,1972.53,0.0,RANDOM
21.0,6,bus,5649.41,8014.79,7.19,-3.5,156678397#2_0,156678397#2,7,0,1801.92,2.94,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-149.14,-57.52,0.014,2773.96,0.0,RANDOM
22.0,0,car,1644.21,8625.15,7.46,0.27,147561889#0_0,147561889#0,8,1,197.87,4.94,0,safety,1,5,CH5_28GHz_mmWave,0.125,-150.0,-22.97,0.726,3.54,0.0002,RANDOM
22.0,1,car,3820.41,7179.7,8.09,1.31,-1196120496#1_0,-1196120496#1,8,0,500.34,1.95,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-145.98,-19.53,0.32,8.44,0.0005,RANDOM
22.0,2,car,4421.3,13383.32,7.66,0.67,464465173#1_1,464465173#1,8,0,5432.2,4.74,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.25,-150.0,-60.0,0.003,1387.32,0.0,RANDOM
22.0,3,car,3330.54,7077.86,6.14,-0.8,237089974#0_0,237089974#0,8,0,500.34,1.95,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.25,-147.02,-14.33,1.045,39.22,0.0033,RANDOM
22.0,4,motorcycle,1840.85,8603.14,12.4,0.87,-1322924310#1_0,-1322924310#1,8,1,197.87,4.94,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.125,-150.0,-39.86,0.06,67.37,0.0,RANDOM
22.0,5,car,4288.37,6846.69,11.94,1.81,:10094580889_3_0,:10094580889_3,8,0,574.35,3.85,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.125,-150.0,-28.62,0.02,202.21,0.0,RANDOM
22.0,6,bus,5649.57,8011.11,3.69,-3.5,156678397#2_0,156678397#2,8,0,1791.3,8.25,0,safety,1,4,CH4_5.92GHz_AUTON,0.25,-131.08,-43.33,0.003,832.76,0.0,RANDOM
22.0,7,car,2183.22,6508.09,13.89,0.0,-262859971_0,-262859971,8,0,1281.01,7.75,0,safety,1,1,CH1_5.86GHz_V2V,0.125,-150.0,-34.21,0.005,438.63,0.0,RANDOM
23.0,0,car,1652.85,8622.78,8.96,1.5,147561889#0_0,147561889#0,8,1,181.58,3.25,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.125,-150.0,-13.61,0.615,6.74,0.0042,RANDOM
23.0,1,car,3820.6,7189.99,10.29,2.2,-1196120496#1_0,-1196120496#1,8,0,496.44,4.0,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.125,-150.0,-47.16,0.014,277.51,0.0,RANDOM
23.0,2,car,4420.9,13391.11,7.8,0.14,464465173#1_1,464465173#1,8,0,5433.03,4.41,0,infotainment,5,3,CH3_5.90GHz_V2I,0.25,-150.0,-41.58,0.003,13864.59,0.0,RANDOM
23.0,3,car,3336.6,7079.57,6.29,0.16,237089974#0_0,237089974#0,8,0,496.44,4.0,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.125,-150.0,-24.12,0.056,215.64,0.0,RANDOM
23.0,4,motorcycle,1834.19,8613.37,12.21,-0.19,:3870459134_0_0,:3870459134_0,8,1,181.58,3.25,0,safety,1,4,CH4_5.92GHz_AUTON,0.125,-150.0,-10.64,2.389,1.24,0.0118,RANDOM
23.0,5,car,4289.24,6860.55,13.89,1.95,-133944946#0_0,-133944946#0,8,0,572.85,3.6,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-150.0,-17.62,0.495,5.79,0.001,RANDOM
23.0,6,bus,5652.0,8009.88,3.32,-0.36,:306622887_11_0,:306622887_11,8,0,1782.72,10.57,0,infotainment,5,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,694.13,0.0,RANDOM
23.0,7,car,2179.81,6495.42,13.12,-0.77,-262859971_0,-262859971,8,0,1295.91,6.83,0,safety,1,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,42.53,0.0,RANDOM
24.0,0,car,1663.16,8619.96,10.68,1.72,:1607769911_6_0,:1607769911_6,8,1,165.51,0.55,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.25,-133.01,-12.5,1.577,3.47,0.0062,RANDOM
24.0,1,car,3820.79,7201.18,11.2,0.9,-1196120496#1_0,-1196120496#1,8,0,493.1,5.07,0,safety,1,1,CH1_5.86GHz_V2V,0.25,-150.0,-30.83,0.012,202.63,0.0,RANDOM
24.0,2,car,4420.5,13398.64,7.54,-0.26,464465173#1_1,464465173#1,8,0,5434.64,2.59,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.25,-150.0,-58.72,0.001,2773.68,0.0,RANDOM
24.0,3,car,3342.5,7081.25,6.13,-0.16,237089974#0_0,237089974#0,8,0,493.1,5.07,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-133.03,-26.62,0.063,39.16,0.0,RANDOM
24.0,4,motorcycle,1828.66,8621.86,10.13,-2.08,-1322924310#0_0,-1322924310#0,8,1,165.51,0.55,0,safety,1,5,CH5_28GHz_mmWave,0.25,-147.68,-28.66,0.196,13.18,0.0,RANDOM
24.0,5,car,4289.83,6870.07,9.54,-4.36,-133944946#0_0,-133944946#0,8,0,574.14,1.66,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.25,-136.09,-24.77,0.096,42.59,0.0001,RANDOM
24.0,6,bus,5652.68,8013.06,3.4,0.08,-156678397#2_0,-156678397#2,8,0,1778.7,6.14,0,safety,1,4,CH4_5.92GHz_AUTON,0.25,-143.83,-37.65,0.005,484.72,0.0,RANDOM
24.0,7,car,2176.14,6481.8,14.1,0.99,-262859971_0,-262859971,8,0,1311.39,7.97,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.25,-141.26,-55.73,0.014,278.21,0.0,RANDOM
25.0,0,car,1675.42,8616.61,12.71,2.03,147561889#1_0,147561889#1,9,1,149.6,5.23,0,infotainment,5,2,CH2_5.88GHz_EMERG,0.444,-105.99,28.34,94.149,3.39,0.9999,RANDOM
25.0,1,car,3820.97,7211.2,10.02,-1.17,-1196120496#1_0,-1196120496#1,9,0,489.66,3.8,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.111,-150.0,-24.58,0.1,399.27,0.0001,RANDOM
25.0,2,car,4420.11,13406.24,7.61,0.07,464465173#1_1,464465173#1,9,0,5197.41,6.28,0,safety,1,2,CH2_5.88GHz_EMERG,0.444,-149.36,-60.0,0.001,1666.62,0.0,RANDOM
25.0,3,car,3348.24,7083.55,6.22,0.09,:2450399435_10_0,:2450399435_10,9,0,489.66,3.8,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.111,-150.0,-19.01,0.36,11.29,0.0006,RANDOM
25.0,4,motorcycle,1824.58,8628.13,7.48,-2.65,-1322924310#0_0,-1322924310#0,9,1,149.6,5.23,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.444,-107.79,22.6,75.161,3.02,0.9993,RANDOM
25.0,5,car,4290.15,6875.19,5.14,-4.4,-133944946#0_0,-133944946#0,9,0,577.09,4.88,0,safety,1,6,CH6_140GHz_6G_THz,0.222,-150.0,-60.0,0.058,42.33,0.0,RANDOM
25.0,6,bus,5652.5,8017.37,4.31,0.91,-156678397#2_0,-156678397#2,9,0,1777.8,0.83,0,safety,1,2,CH2_5.88GHz_EMERG,0.444,-140.72,-31.85,0.009,257.53,0.0,RANDOM
25.0,7,car,2172.47,6468.13,14.16,0.05,-262859971_0,-262859971,9,0,1327.09,7.94,0,infotainment,5,5,CH5_28GHz_mmWave,0.111,-150.0,-50.86,0.014,2772.92,0.0,RANDOM
25.0,8,car,3624.84,8270.03,13.89,0.0,31281091#8_0,31281091#8,9,0,1076.84,3.87,0,autonomous_driving,4,6,CH6_140GHz_6G_THz,0.222,-150.0,-60.0,0.058,208.7,0.0,RANDOM
26.0,0,car,1687.6,8613.27,12.63,-0.08,:1607769900_6_0,:1607769900_6,9,1,135.54,6.8,0,safety,1,3,CH3_5.90GHz_V2I,0.222,-94.26,20.86,138.827,0.76,0.9986,RANDOM
26.0,1,car,3821.1,7217.67,6.47,-3.56,-1196120496#1_0,-1196120496#1,9,0,487.44,0.54,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.222,-141.31,-38.13,0.022,180.95,0.0,RANDOM
