time,vehicle_id,vehicle_type,latitude,longitude,speed_mps
21.0,veh_008,car,12.936226,77.654009,3.668
21.0,veh_010,bus,12.931352,77.645642,5.666
21.0,veh_024,motorcycle,12.946676,77.694344,11.331
21.0,veh_029,car,12.944191,77.677817,7.624
21.0,veh_046,motorcycle,12.94724,77.695609,1.627
21.0,veh_049,bus,12.94033,77.66577,5.909
22.0,veh_000,car,12.940342,77.666016,5.474
22.0,veh_008,car,12.936292,77.654133,7.213
22.0,veh_010,bus,12.931358,77.645782,5.716
22.0,veh_024,motorcycle,12.946872,77.694267,6.279
22.0,veh_029,car,12.944193,77.67785,8.682
22.0,veh_046,motorcycle,12.947262,77.695748,15.117
22.0,veh_049,bus,12.940395,77.665819,4.947
23.0,veh_000,car,12.940463,77.666079,8.262
23.0,veh_008,car,12.936271,77.654244,3.366
23.0,veh_010,bus,12.931523,77.64571,6.795
23.0,veh_024,motorcycle,12.946728,77.69447,8.186
23.0,veh_029,car,12.944264,77.677933,10.331
23.0,veh_036,motorcycle,12.936193,77.65411,5.773
23.0,veh_046,motorcycle,12.947227,77.695883,11.416
23.0,veh_049,bus,12.940423,77.665843,3.787
24.0,veh_000,car,12.940411,77.666066,2.348
24.0,veh_008,car,12.936273,77.654347,10.295
24.0,veh_010,bus,12.931382,77.645775,5.231
24.0,veh_024,motorcycle,12.946723,77.694467,7.266
24.0,veh_029,car,12.94432,77.678067,9.701
24.0,veh_036,motorcycle,12.936188,77.654119,7.901
24.0,veh_046,motorcycle,12.947345,77.695843,3.291
24.0,veh_049,bus,12.940433,77.665949,4.638
25.0,veh_000,car,12.940419,77.666175,4.294
25.0,veh_008,car,12.936219,77.654332,4.23
25.0,veh_010,bus,12.931458,77.645819,3.51
25.0,veh_024,motorcycle,12.946829,77.694664,15.038
25.0,veh_029,car,12.94423,77.678049,6.362
25.0,veh_036,motorcycle,12.936212,77.654161,5.118
25.0,veh_046,motorcycle,12.947282,77.695908,4.658
25.0,veh_049,bus,12.940337,77.665883,5.474
26.0,veh_000,car,12.940465,77.666142,3.468
26.0,veh_008,car,12.936282,77.654415,8.098
26.0,veh_010,bus,12.931559,77.645838,4.526
26.0,veh_024,motorcycle,12.946893,77.694651,4.251
26.0,veh_029,car,12.94432,77.67809,4.778
26.0,veh_036,motorcycle,12.936228,77.654187,5.0
26.0,veh_046,motorcycle,12.947311,77.695977,11.616
26.0,veh_049,bus,12.940425,77.666023,5.557
27.0,veh_000,car,12.94046,77.666174,5.933
27.0,veh_008,car,12.936323,77.654351,0.12
27.0,veh_010,bus,12.931482,77.645814,4.357
27.0,veh_024,motorcycle,12.94675,77.694607,4.741
27.0,veh_029,car,12.944269,77.678154,7.382
27.0,veh_036,motorcycle,12.936294,77.654259,9.654
27.0,veh_046,motorcycle,12.947342,77.696052,8.612
27.0,veh_049,bus,12.940405,77.665988,7.364
28.0,veh_000,car,12.940527,77.666224,6.635
28.0,veh_008,car,12.936293,77.654568,9.135
28.0,veh_010,bus,12.931641,77.645933,4.383
28.0,veh_024,motorcycle,12.946823,77.694762,8.344
28.0,veh_029,car,12.944283,77.678278,5.754
28.0,veh_036,motorcycle,12.936334,77.654307,0.434
28.0,veh_046,motorcycle,12.947331,77.696065,4.52
28.0,veh_049,bus,12.940477,77.666032,3.426
29.0,veh_000,car,12.940523,77.66626,8.085
29.0,veh_008,car,12.936361,77.654493,4.897
29.0,veh_010,bus,12.931558,77.645964,4.973
29.0,veh_024,motorcycle,12.946896,77.694806,3.162
29.0,veh_029,car,12.944378,77.678319,6.509
29.0,veh_036,motorcycle,12.936312,77.654322,10.257
29.0,veh_046,motorcycle,12.947388,77.696188,10.112
29.0,veh_049,bus,12.940522,77.666155,6.861
30.0,veh_000,car,12.940651,77.666279,5.888
30.0,veh_008,car,12.936397,77.654556,3.864
30.0,veh_010,bus,12.931612,77.645991,4.519
30.0,veh_024,motorcycle,12.947007,77.694897,9.289
30.0,veh_029,car,12.944264,77.67836,2.412
30.0,veh_036,motorcycle,12.936309,77.654434,5.945
30.0,veh_046,motorcycle,12.947418,77.696203,5.501
30.0,veh_049,bus,12.940415,77.666113,4.07
31.0,veh_000,car,12.940513,77.666441,5.952
31.0,veh_008,car,12.936363,77.6545,6.577
31.0,veh_010,bus,12.931598,77.646035,4.179
31.0,veh_024,motorcycle,12.946855,77.69484,1.734
31.0,veh_029,car,12.944377,77.678343,7.66
31.0,veh_036,motorcycle,12.93643,77.654496,8.441
31.0,veh_046,motorcycle,12.947305,77.696297,10.793
31.0,veh_049,bus,12.940504,77.666235,4.639
32.0,veh_000,car,12.940646,77.666397,7.645
32.0,veh_008,car,12.936359,77.654692,6.377
32.0,veh_010,bus,12.93163,77.646064,4.915
32.0,veh_024,motorcycle,12.94697,77.694858,9.083
32.0,veh_029,car,12.944326,77.678476,6.327
32.0,veh_036,motorcycle,12.936448,77.654559,4.972
32.0,veh_046,motorcycle,12.947399,77.696374,4.883
32.0,veh_049,bus,12.940525,77.666278,4.536
33.0,veh_000,car,12.940717,77.666502,5.038
33.0,veh_008,car,12.936386,77.654631,6.319
33.0,veh_010,bus,12.931602,77.646148,4.113
33.0,veh_024,motorcycle,12.946994,77.695118,7.788
33.0,veh_029,car,12.944416,77.678518,10.854
33.0,veh_036,motorcycle,12.936447,77.654574,6.064
33.0,veh_046,motorcycle,12.94741,77.696389,6.616
33.0,veh_047,car,12.944178,77.677066,6.572
33.0,veh_049,bus,12.940605,77.666294,5.0
34.0,veh_000,car,12.940709,77.666592,4.896
34.0,veh_008,car,12.936434,77.654771,7.64
34.0,veh_010,bus,12.93174,77.646124,3.417
34.0,veh_024,motorcycle,12.94695,77.695052,9.65
34.0,veh_029,car,12.944284,77.678572,2.025
34.0,veh_036,motorcycle,12.936498,77.654549,4.875
34.0,veh_046,motorcycle,12.947592,77.69645,12.564
34.0,veh_047,car,12.944259,77.677148,6.422
34.0,veh_049,bus,12.940529,77.666375,3.364
35.0,veh_000,car,12.94063,77.666715,8.331
35.0,veh_008,car,12.936471,77.654788,5.917
35.0,veh_010,bus,12.931676,77.646206,5.0
35.0,veh_024,motorcycle,12.947104,77.695221,6.881
35.0,veh_029,car,12.944411,77.678677,10.68
35.0,veh_036,motorcycle,12.936538,77.654601,7.654
35.0,veh_046,motorcycle,12.947571,77.696651,12.337
35.0,veh_047,car,12.944202,77.677216,9.71
35.0,veh_049,bus,12.940628,77.666232,3.482
36.0,veh_000,car,12.940597,77.666594,4.931
36.0,veh_008,car,12.936502,77.654811,3.128
36.0,veh_010,bus,12.931682,77.646154,3.746
36.0,veh_024,motorcycle,12.94707,77.695314,7.665
36.0,veh_029,car,12.944345,77.678678,5.657
36.0,veh_036,motorcycle,12.93651,77.654815,8.791
36.0,veh_046,motorcycle,12.947599,77.696742,7.972
36.0,veh_047,car,12.944238,77.67718,4.538
36.0,veh_049,bus,12.940591,77.666427,5.349
37.0,veh_000,car,12.940652,77.666682,4.33
37.0,veh_008,car,12.936476,77.65485,3.553
37.0,veh_010,bus,12.931672,77.646165,3.459
37.0,veh_024,motorcycle,12.947013,77.695253,1.693
37.0,veh_029,car,12.94435,77.678887,5.284
37.0,veh_036,motorcycle,12.936448,77.65493,4.352
37.0,veh_046,motorcycle,12.947521,77.696717,6.202
37.0,veh_047,car,12.944248,77.677362,15.261
37.0,veh_049,bus,12.94062,77.666406,3.49
38.0,veh_000,car,12.940805,77.666803,9.896
38.0,veh_008,car,12.93653,77.654976,5.955
38.0,veh_010,bus,12.931835,77.646222,2.729
38.0,veh_024,motorcycle,12.94698,77.695377,7.269
38.0,veh_029,car,12.94437,77.67887,3.748
38.0,veh_036,motorcycle,12.936542,77.654875,7.838
38.0,veh_046,motorcycle,12.947617,77.696812,12.656
38.0,veh_047,car,12.944257,77.677434,6.939
38.0,veh_049,bus,12.940603,77.666451,4.092
39.0,veh_000,car,12.940747,77.666873,5.326
39.0,veh_008,car,12.936512,77.654978,5.01
39.0,veh_010,bus,12.931649,77.646239,4.913
39.0,veh_024,motorcycle,12.947099,77.695423,10.165
39.0,veh_029,car,12.944306,77.678924,11.302
39.0,veh_036,motorcycle,12.936593,77.654868,6.907
39.0,veh_039,bus,12.936216,77.654034,3.856
39.0,veh_046,motorcycle,12.94759,77.696864,5.22
39.0,veh_047,car,12.944299,77.677445,2.365
39.0,veh_049,bus,12.940581,77.666523,4.147
40.0,veh_000,car,12.940784,77.666902,7.877
40.0,veh_008,car,12.936501,77.655046,4.256
40.0,veh_010,bus,12.931816,77.646233,3.048
40.0,veh_024,motorcycle,12.947169,77.695447,8.188
40.0,veh_029,car,12.944324,77.678877,3.433
40.0,veh_036,motorcycle,12.936524,77.654906,4.824
40.0,veh_039,bus,12.936236,77.654233,4.61
40.0,veh_041,motorcycle,12.917479,77.625896,9.799
40.0,veh_046,motorcycle,12.947625,77.696885,4.439
40.0,veh_047,car,12.944229,77.677501,10.564
40.0,veh_048,car,12.946666,77.694279,2.786
40.0,veh_049,bus,12.940656,77.666466,3.14
41.0,veh_000,car,12.940758,77.666958,8.03
41.0,veh_008,car,12.936533,77.655049,4.566
41.0,veh_010,bus,12.931878,77.646246,2.062
41.0,veh_024,motorcycle,12.947152,77.695554,12.332
41.0,veh_029,car,12.944504,77.679048,5.124
41.0,veh_036,motorcycle,12.936591,77.655041,5.596
41.0,veh_039,bus,12.93613,77.654134,2.218
41.0,veh_041,motorcycle,12.917582,77.625926,8.278
41.0,veh_046,motorcycle,12.947753,77.696984,9.023
41.0,veh_047,car,12.944268,77.677572,5.078
41.0,veh_048,car,12.946641,77.694249,6.839
41.0,veh_049,bus,12.940779,77.666543,3.758
42.0,veh_000,car,12.940757,77.667064,1.891
42.0,veh_008,car,12.936627,77.65515,9.316
42.0,veh_010,bus,12.931728,77.646394,4.708
42.0,veh_024,motorcycle,12.947221,77.695671,7.636
42.0,veh_029,car,12.944391,77.678976,6.839
42.0,veh_036,motorcycle,12.936542,77.655063,8.33
42.0,veh_039,bus,12.936314,77.654114,4.618
42.0,veh_041,motorcycle,12.917475,77.625902,0.722
42.0,veh_046,motorcycle,12.947673,77.697202,6.915
42.0,veh_047,car,12.944237,77.677671,6.122
42.0,veh_048,car,12.946691,77.694365,5.539
42.0,veh_049,bus,12.940658,77.66661,3.672
43.0,veh_000,car,12.940743,77.667008,3.834
43.0,veh_008,car,12.936573,77.655124,3.811
43.0,veh_010,bus,12.931804,77.646385,3.003
43.0,veh_024,motorcycle,12.947144,77.695599,5.923
43.0,veh_029,car,12.944349,77.678939,1.477
43.0,veh_036,motorcycle,12.936538,77.655227,10.124
43.0,veh_039,bus,12.936302,77.654136,2.707
43.0,veh_041,motorcycle,12.917546,77.626134,9.845
43.0,veh_046,motorcycle,12.947648,77.697174,6.035
43.0,veh_047,car,12.944189,77.677755,6.718
43.0,veh_048,car,12.946778,77.694491,5.248
43.0,veh_049,bus,12.94059,77.666607,5.442
44.0,veh_000,car,12.94085,77.667085,1.91
44.0,veh_008,car,12.936637,77.655184,5.212
44.0,veh_010,bus,12.931867,77.646457,4.051
44.0,veh_024,motorcycle,12.947262,77.695813,9.587
44.0,veh_029,car,12.944349,77.679078,7.452
44.0,veh_036,motorcycle,12.936632,77.655272,6.847
44.0,veh_039,bus,12.936291,77.654185,2.878
44.0,veh_041,motorcycle,12.917537,77.625976,3.115
44.0,veh_046,motorcycle,12.947665,77.697186,3.888
44.0,veh_047,car,12.944256,77.677854,5.585
44.0,veh_048,car,12.94676,77.694455,8.156
44.0,veh_049,bus,12.940663,77.666661,4.921
45.0,veh_000,car,12.940679,77.667137,5.761
45.0,veh_008,car,12.936607,77.655297,7.778
45.0,veh_010,bus,12.931882,77.646394,4.876
45.0,veh_024,motorcycle,12.947184,77.695825,13.881
45.0,veh_029,car,12.944463,77.679196,8.432
45.0,veh_036,motorcycle,12.936613,77.655321,7.749
45.0,veh_039,bus,12.936241,77.654218,3.301
45.0,veh_041,motorcycle,12.91761,77.626133,10.949
45.0,veh_046,motorcycle,12.947667,77.697195,5.567
45.0,veh_047,car,12.9443,77.677964,5.778
45.0,veh_048,car,12.946816,77.69459,7.695
45.0,veh_049,bus,12.940687,77.666666,3.588
46.0,veh_000,car,12.940876,77.667131,8.217
46.0,veh_008,car,12.936631,77.655307,6.667
46.0,veh_010,bus,12.931831,77.646437,2.59
46.0,veh_024,motorcycle,12.947295,77.695914,9.791
46.0,veh_029,car,12.944403,77.679202,5.168
46.0,veh_036,motorcycle,12.936634,77.655431,10.339
46.0,veh_039,bus,12.936334,77.654269,3.979
46.0,veh_041,motorcycle,12.917713,77.626146,6.951
46.0,veh_046,motorcycle,12.947701,77.697269,6.273
46.0,veh_047,car,12.944232,77.677901,6.572
46.0,veh_048,car,12.946883,77.694598,10.483
46.0,veh_049,bus,12.940697,77.666717,3.42
47.0,veh_000,car,12.940803,77.66722,4.099
47.0,veh_008,car,12.936622,77.655502,10.084
47.0,veh_010,bus,12.931853,77.646529,3.857
47.0,veh_024,motorcycle,12.947337,77.696068,8.75
47.0,veh_029,car,12.944383,77.679345,6.169
47.0,veh_036,motorcycle,12.936648,77.655456,6.041
47.0,veh_039,bus,12.936257,77.654315,2.656
47.0,veh_041,motorcycle,12.917727,77.626192,4.374
47.0,veh_046,motorcycle,12.947766,77.697324,9.956
47.0,veh_047,car,12.944224,77.67788,7.129
47.0,veh_048,car,12.946822,77.694684,4.201
47.0,veh_049,bus,12.940754,77.66679,4.891
48.0,veh_000,car,12.940934,77.667257,5.292
48.0,veh_008,car,12.936674,77.655423,5.953
48.0,veh_010,bus,12.931823,77.64651,1.619
48.0,veh_024,motorcycle,12.947397,77.696062,6.443
48.0,veh_029,car,12.944471,77.679219,7.362
48.0,veh_036,motorcycle,12.936646,77.655532,7.258
48.0,veh_039,bus,12.93619,77.654376,6.082
48.0,veh_041,motorcycle,12.917809,77.626285,9.547
48.0,veh_046,motorcycle,12.947803,77.697433,11.036
48.0,veh_047,car,12.944331,77.677962,4.625
48.0,veh_048,car,12.946792,77.694758,6.666
48.0,veh_049,bus,12.940699,77.666858,4.829
49.0,veh_000,car,12.940857,77.667267,3.842
49.0,veh_008,car,12.936813,77.655528,10.853
49.0,veh_010,bus,12.93192,77.646489,4.56
49.0,veh_024,motorcycle,12.947319,77.696178,1.495
49.0,veh_029,car,12.94439,77.679388,5.421
49.0,veh_036,motorcycle,12.936684,77.655529,6.073
49.0,veh_039,bus,12.936346,77.654312,3.964
49.0,veh_041,motorcycle,12.917845,77.626266,0.247
49.0,veh_046,motorcycle,12.947879,77.697555,11.091
49.0,veh_047,car,12.944248,77.678156,6.068
49.0,veh_048,car,12.946949,77.694807,3.829
49.0,veh_049,bus,12.940773,77.666935,9.524
50.0,veh_000,car,12.940837,77.667246,6.771
50.0,veh_008,car,12.93669,77.655574,5.098
50.0,veh_010,bus,12.931879,77.646565,5.462
50.0,veh_024,motorcycle,12.947397,77.696234,6.29
50.0,veh_029,car,12.944338,77.679411,2.363
50.0,veh_036,motorcycle,12.936718,77.65567,6.406
50.0,veh_039,bus,12.936328,77.654398,5.899
50.0,veh_041,motorcycle,12.917748,77.626319,1.977
50.0,veh_046,motorcycle,12.947855,77.697698,12.504
50.0,veh_047,car,12.944268,77.678029,5.177
50.0,veh_048,car,12.946915,77.694754,2.202
50.0,veh_049,bus,12.940732,77.66694,2.842
51.0,veh_000,car,12.94098,77.667398,7.102
51.0,veh_008,car,12.936731,77.655639,5.504
51.0,veh_010,bus,12.931923,77.64661,6.006
51.0,veh_024,motorcycle,12.94741,77.69624,7.132
51.0,veh_029,car,12.944436,77.679455,3.304
51.0,veh_036,motorcycle,12.936867,77.655612,6.125
51.0,veh_039,bus,12.936283,77.654408,6.351
51.0,veh_041,motorcycle,12.917756,77.626382,8.844
51.0,veh_046,motorcycle,12.947918,77.69774,9.176
51.0,veh_047,car,12.944292,77.678107,7.082
51.0,veh_048,car,12.946914,77.694848,6.486
51.0,veh_049,bus,12.940809,77.666882,3.57
52.0,veh_000,car,12.940937,77.667418,2.774
52.0,veh_008,car,12.936803,77.65571,5.799
52.0,veh_010,bus,12.931956,77.646604,5.791
52.0,veh_024,motorcycle,12.947415,77.696333,9.71
52.0,veh_029,car,12.944493,77.679488,6.315
52.0,veh_036,motorcycle,12.936839,77.655667,6.515
52.0,veh_039,bus,12.936352,77.654402,2.574
52.0,veh_041,motorcycle,12.917817,77.626387,5.084
52.0,veh_046,motorcycle,12.947967,77.69782,4.903
52.0,veh_047,car,12.944263,77.678229,9.391
52.0,veh_048,car,12.94691,77.694889,8.975
52.0,veh_049,bus,12.940877,77.666993,2.839
53.0,veh_000,car,12.940961,77.667423,8.361
53.0,veh_008,car,12.936812,77.655773,8.925
53.0,veh_010,bus,12.932073,77.646767,4.337
53.0,veh_024,motorcycle,12.947442,77.696364,9.689
53.0,veh_029,car,12.944462,77.679484,4.735
53.0,veh_036,motorcycle,12.936761,77.655612,2.808
53.0,veh_039,bus,12.936382,77.654555,3.477
53.0,veh_041,motorcycle,12.917887,77.626459,10.866
53.0,veh_046,motorcycle,12.948025,77.6979,8.87
53.0,veh_047,car,12.944295,77.678324,4.668
53.0,veh_048,car,12.946897,77.695006,7.15
53.0,veh_049,bus,12.940767,77.667116,4.637
54.0,veh_000,car,12.940997,77.667548,9.418
54.0,veh_008,car,12.936808,77.655865,10.333
54.0,veh_010,bus,12.932053,77.646709,1.419
54.0,veh_024,motorcycle,12.94745,77.696422,8.902
54.0,veh_026,car,12.936182,77.654102,6.603
54.0,veh_029,car,12.944284,77.679677,7.306
54.0,veh_030,bus,12.931359,77.645572,4.658
54.0,veh_036,motorcycle,12.936829,77.655868,8.873
54.0,veh_039,bus,12.936361,77.654486,4.084
54.0,veh_041,motorcycle,12.917902,77.626417,8.39
54.0,veh_046,motorcycle,12.947919,77.697852,4.83
54.0,veh_047,car,12.944386,77.678329,2.755
54.0,veh_048,car,12.946993,77.694967,3.633
54.0,veh_049,bus,12.940895,77.667068,3.518
55.0,veh_000,car,12.940941,77.667629,4.904
55.0,veh_008,car,12.936847,77.65587,7.298
55.0,veh_010,bus,12.932023,77.646792,4.519
55.0,veh_024,motorcycle,12.947458,77.696591,9.954
55.0,veh_026,car,12.936254,77.654088,7.199
55.0,veh_029,car,12.944415,77.679802,7.592
55.0,veh_030,bus,12.931349,77.645465,4.989
55.0,veh_036,motorcycle,12.936927,77.65593,6.5
55.0,veh_039,bus,12.936369,77.654512,3.986
55.0,veh_041,motorcycle,12.917974,77.626556,4.241
55.0,veh_046,motorcycle,12.947992,77.698014,8.022
55.0,veh_047,car,12.944414,77.678385,9.41
55.0,veh_048,car,12.946967,77.695039,12.978
55.0,veh_049,bus,12.940768,77.667058,2.574
56.0,veh_000,car,12.941034,77.667631,5.591
56.0,veh_008,car,12.936905,77.65597,2.405
56.0,veh_010,bus,12.932192,77.646808,4.782
56.0,veh_024,motorcycle,12.947463,77.696597,5.094
56.0,veh_026,car,12.936228,77.654174,3.595
56.0,veh_029,car,12.944456,77.679717,5.891
56.0,veh_030,bus,12.931403,77.645545,2.682
56.0,veh_036,motorcycle,12.936831,77.655971,7.646
56.0,veh_039,bus,12.936448,77.654663,4.961
56.0,veh_041,motorcycle,12.91796,77.626618,8.748
56.0,veh_046,motorcycle,12.947948,77.697981,9.05
56.0,veh_047,car,12.944367,77.678464,3.868
56.0,veh_048,car,12.946954,77.695113,9.103
56.0,veh_049,bus,12.940881,77.667205,4.102
57.0,veh_000,car,12.941146,77.667669,6.914
57.0,veh_008,car,12.93693,77.655993,5.784
57.0,veh_010,bus,12.932061,77.64679,5.14
57.0,veh_024,motorcycle,12.947582,77.696671,4.283
57.0,veh_026,car,12.936227,77.654209,3.358
57.0,veh_029,car,12.944487,77.679784,8.981
57.0,veh_030,bus,12.931369,77.645645,4.522
57.0,veh_036,motorcycle,12.936987,77.655962,6.286
57.0,veh_039,bus,12.936464,77.654586,4.136
57.0,veh_041,motorcycle,12.918118,77.62668,5.393
57.0,veh_046,motorcycle,12.947992,77.698068,3.084
57.0,veh_047,car,12.944351,77.678443,7.725
57.0,veh_048,car,12.947052,77.695205,2.496
57.0,veh_049,bus,12.94079,77.667161,5.257
58.0,veh_000,car,12.94113,77.667724,8.968
58.0,veh_008,car,12.93691,77.656125,12.49
58.0,veh_010,bus,12.932031,77.646902,4.302
58.0,veh_012,motorcycle,12.917484,77.625901,8.593
58.0,veh_024,motorcycle,12.947557,77.696792,7.823
58.0,veh_026,car,12.936164,77.654277,4.392
58.0,veh_029,car,12.944405,77.679969,9.608
58.0,veh_030,bus,12.931402,77.645686,3.429
58.0,veh_036,motorcycle,12.936936,77.656122,10.578
58.0,veh_039,bus,12.936482,77.654702,3.235
58.0,veh_041,motorcycle,12.918051,77.626684,5.06
58.0,veh_046,motorcycle,12.948019,77.698204,6.735
58.0,veh_047,car,12.944277,77.678561,7.986
58.0,veh_048,car,12.94707,77.695247,6.308
58.0,veh_049,bus,12.940894,77.667173,4.102
59.0,veh_000,car,12.941132,77.667861,6.416
59.0,veh_008,car,12.936984,77.656082,4.713
59.0,veh_010,bus,12.932025,77.646883,5.059
59.0,veh_012,motorcycle,12.917419,77.62591,4.252
59.0,veh_024,motorcycle,12.947466,77.696873,8.177
59.0,veh_026,car,12.93627,77.654288,3.859
59.0,veh_029,car,12.944453,77.679982,8.565
59.0,veh_030,bus,12.931438,77.645726,6.04
59.0,veh_036,motorcycle,12.937011,77.656197,3.775
59.0,veh_039,bus,12.936547,77.654706,5.973
59.0,veh_041,motorcycle,12.918022,77.626706,9.922
59.0,veh_046,motorcycle,12.948011,77.698116,4.231
59.0,veh_047,car,12.944291,77.678593,5.829
59.0,veh_048,car,12.947077,77.69534,8.14
59.0,veh_049,bus,12.940823,77.667328,4.991
60.0,veh_000,car,12.941044,77.66788,8.333
60.0,veh_008,car,12.936893,77.656054,4.914
60.0,veh_010,bus,12.932112,77.646993,3.435
60.0,veh_012,motorcycle,12.917432,77.625943,8.275
60.0,veh_024,motorcycle,12.947542,77.696849,7.639
60.0,veh_026,car,12.936231,77.654249,4.384
60.0,veh_029,car,12.94452,77.67999,6.93
60.0,veh_030,bus,12.931457,77.645799,4.797
60.0,veh_036,motorcycle,12.936926,77.656197,4.602
60.0,veh_039,bus,12.936449,77.65469,2.619
60.0,veh_041,motorcycle,12.918027,77.626723,0.1
60.0,veh_046,motorcycle,12.948119,77.698224,7.583
60.0,veh_047,car,12.944333,77.678597,3.043
60.0,veh_048,car,12.947039,77.695233,1.685
60.0,veh_049,bus,12.940931,77.667302,4.069
61.0,veh_000,car,12.941075,77.668072,5.469
61.0,veh_008,car,12.936988,77.656229,10.065
61.0,veh_010,bus,12.932083,77.646961,2.429
61.0,veh_012,motorcycle,12.917471,77.625953,0.693
61.0,veh_024,motorcycle,12.947548,77.696846,4.753
61.0,veh_026,car,12.936294,77.654302,7.882
61.0,veh_029,car,12.944486,77.680131,9.387
61.0,veh_030,bus,12.931455,77.645844,4.653
61.0,veh_036,motorcycle,12.936977,77.65616,5.17
61.0,veh_039,bus,12.936444,77.654751,4.635
61.0,veh_041,motorcycle,12.91819,77.626869,6.273
61.0,veh_046,motorcycle,12.948103,77.69833,7.243
61.0,veh_047,car,12.944352,77.67871,5.021
61.0,veh_048,car,12.94714,77.695343,4.674
61.0,veh_049,bus,12.941018,77.667263,3.596
62.0,veh_000,car,12.941195,77.668067,7.873
62.0,veh_008,car,12.936961,77.656217,4.122
62.0,veh_010,bus,12.932198,77.647068,3.954
62.0,veh_012,motorcycle,12.917541,77.625996,9.023
62.0,veh_024,motorcycle,12.947527,77.697041,6.754
62.0,veh_026,car,12.936263,77.654459,7.224
62.0,veh_029,car,12.944477,77.680224,6.567
62.0,veh_030,bus,12.931504,77.645874,2.378
62.0,veh_036,motorcycle,12.936975,77.656311,8.883
62.0,veh_039,bus,12.936401,77.654756,4.415
62.0,veh_041,motorcycle,12.918203,77.626819,5.493
62.0,veh_046,motorcycle,12.94812,77.69832,4.343
